countries,infected,infected_today,deaths,deaths_today,recovered,recovered_today,active,critical,tests,death_rate,recovery_rate
Isle of Man,335,0,24,0,285,0,26,9,4102,7.2,85.1
Mauritius,332,0,10,0,322,0,0,0,86887,3.0,97.0
Cabo Verde,328,0,3,0,84,0,241,0,892,0.9,25.6
CAR,327,0,0,0,13,0,314,0,3498,0.0,4.0
Montenegro,324,0,9,0,311,0,4,2,10167,2.8,96.0
Vietnam,320,2,0,0,260,0,60,2,275000,0.0,81.2
Ethiopia,317,11,5,0,113,0,199,0,57254,1.6,35.6
Madagascar,304,21,1,1,114,0,189,2,5670,0.3,37.5
Togo,301,3,11,0,104,5,186,0,12613,3.7,34.6
Nepal,295,14,2,1,36,0,257,0,92440,0.7,12.2
Rwanda,292,3,0,0,197,19,95,0,49374,0.0,67.5
South Sudan,290,54,4,0,4,0,282,0,3356,1.4,1.4
Sao Tome and Principe,235,0,7,0,4,0,224,0,175,3.0,1.7
Uganda,227,0,0,0,63,0,164,0,72161,0.0,27.8
Liberia,226,3,21,1,120,4,85,0,0,9.3,53.1
Eswatini,203,1,2,0,73,1,128,0,4160,1.0,36.0
French Guiana,197,0,1,0,125,0,71,0,0,0.5,63.5
Martinique,192,0,14,0,91,0,87,0,0,7.3,47.4
Faroe Islands,187,0,0,0,187,0,0,0,8863,0.0,100.0
Myanmar,184,2,6,0,97,1,81,0,13634,3.3,52.7
Guadeloupe,155,0,13,0,109,0,33,3,2866,8.4,70.3
Gibraltar,147,0,0,0,145,0,2,0,5060,0.0,98.6
Brunei,141,0,1,0,136,0,4,2,16892,0.7,96.5
Mozambique,137,8,0,0,44,1,93,0,6011,0.0,32.1
Mongolia,136,1,0,0,21,1,115,2,10318,0.0,15.4
Yemen,128,6,20,2,1,0,107,0,120,15.6,0.8
Bermuda,123,0,9,0,73,0,41,2,5017,7.3,59.3
Cambodia,122,0,0,0,122,0,0,1,15152,0.0,100.0
Guyana,117,0,10,0,43,0,64,2,1089,8.5,36.8
Trinidad and Tobago,116,0,8,0,107,0,1,0,2678,6.9,92.2
Aruba,101,0,3,0,93,0,5,4,1937,3.0,92.1
Monaco,96,0,4,0,87,0,5,1,0,4.2,90.6
Bahamas,96,0,11,0,42,0,43,1,1814,11.5,43.8
Cayman Islands,94,0,1,0,55,0,38,0,5900,1.1,58.5
Barbados,88,2,7,0,68,1,13,4,3924,8.0,77.3
Liechtenstein,82,0,1,0,55,0,26,0,900,1.2,67.1
Sint Maarten,77,1,15,0,54,8,8,7,414,19.5,70.1
Libya,65,0,3,0,35,7,27,0,3633,4.6,53.8
Malawi,65,0,3,0,24,0,38,1,1762,4.6,36.9
Mauritania,62,22,4,0,7,0,51,0,2015,6.5,11.3
Syria,58,7,3,0,36,0,19,0,0,5.2,62.1
Angola,48,0,2,0,17,0,29,0,6136,4.2,35.4
Macau,45,0,0,0,43,0,2,1,0,0.0,95.6
Zimbabwe,44,2,4,0,17,4,23,0,27059,9.1,38.6
Saint Martin,39,0,3,0,30,0,6,1,0,7.7,76.9
Eritrea,39,0,0,0,39,0,0,0,0,0.0,100.0
