countries,infected,deaths,recovered,active,death_rate,recovery_rate
Azerbaijan,400,5,26,369,1.3,6.5
Costa Rica,396,2,6,388,0.5,1.5
North Macedonia,384,11,17,356,2.9,4.4
Cyprus,356,10,28,318,2.8,7.9
Uruguay,350,4,62,284,1.1,17.7
Kuwait,342,0,81,261,0.0,23.7
Taiwan,339,5,50,284,1.5,14.7
Réunion,308,0,40,268,0.0,13.0
Cameroon,306,7,10,289,2.3,3.3
Belarus,304,4,53,247,1.3,17.4
Jordan,299,5,45,249,1.7,15.1
Burkina Faso,288,16,50,222,5.6,17.4
Albania,277,16,76,185,5.8,27.4
Afghanistan,273,6,10,257,2.2,3.7
San Marino,245,30,21,194,12.2,8.6
Cuba,233,6,13,214,2.6,5.6
Vietnam,233,0,75,158,0.0,32.2
Oman,231,1,57,173,0.4,24.7
Honduras,219,14,3,202,6.4,1.4
Uzbekistan,205,2,25,178,1.0,12.2
Ghana,204,5,31,168,2.5,15.2
Malta,196,0,2,194,0.0,1.0
Senegal,195,1,55,139,0.5,28.2
Ivory Coast,194,1,15,178,0.5,7.7
Channel Islands,193,3,0,190,1.6,0.0
Nigeria,184,2,20,162,1.1,10.9
Faroe Islands,177,0,81,96,0.0,45.8
Mauritius,169,7,0,162,4.1,0.0
West Bank and Gaza,161,1,18,142,0.6,11.2
Palestine,161,1,18,142,0.6,11.2
Sri Lanka,151,4,21,126,2.6,13.9
Venezuela,146,5,43,98,3.4,29.5
Montenegro,144,2,0,142,1.4,0.0
Martinique,138,3,27,108,2.2,19.6
Georgia,134,0,26,108,0.0,19.4
Congo (Kinshasa),134,13,3,118,9.7,2.2
Brunei,133,1,56,76,0.8,42.1
Guadeloupe,128,6,24,98,4.7,18.8
Kosovo,125,1,10,114,0.8,8.0
Bolivia,123,8,1,114,6.5,0.8
Mayotte,116,1,10,105,0.9,8.6
Kyrgyzstan,116,0,5,111,0.0,4.3
Cambodia,110,0,34,76,0.0,30.9
Kenya,110,3,4,103,2.7,3.6
Niger,98,5,0,93,5.1,0.0
Isle of Man,95,1,0,94,1.1,0.0
Trinidad and Tobago,94,5,1,88,5.3,1.1
Gibraltar,88,0,46,42,0.0,52.3
Rwanda,84,0,0,84,0.0,0.0
Paraguay,77,3,2,72,3.9,2.6
Liechtenstein,75,0,0,75,0.0,0.0
Aruba,60,0,1,59,0.0,1.7
Monaco,60,1,2,57,1.7,3.3
Madagascar,59,0,0,59,0.0,0.0
Bangladesh,56,6,25,25,10.7,44.6
Guinea,52,0,0,52,0.0,0.0
French Guiana,51,0,15,36,0.0,29.4
Jamaica,47,3,2,42,6.4,4.3
Guatemala,47,1,12,34,2.1,25.5
Barbados,46,0,0,46,0.0,0.0
Uganda,45,0,0,45,0.0,0.0
El Salvador,41,2,0,39,4.9,0.0
Macau,41,0,10,31,0.0,24.4
Djibouti,40,0,0,40,0.0,0.0
Zambia,39,1,0,38,2.6,0.0
Togo,39,2,17,20,5.1,43.6
Mali,36,3,0,33,8.3,0.0
Bermuda,35,0,11,24,0.0,31.4
Ethiopia,29,0,3,26,0.0,10.3
Cayman Islands,28,1,0,27,3.6,0.0
Bahamas,24,1,1,22,4.2,4.2
Saint Martin,22,1,2,19,4.5,9.1
Eritrea,22,0,0,22,0.0,0.0
Congo (Brazzaville),22,2,2,18,9.1,9.1
Gabon,21,1,0,20,4.8,0.0
Burma,20,1,0,19,5.0,0.0
Myanmar,20,1,0,19,5.0,0.0
Tanzania,20,1,2,17,5.0,10.0
Guyana,19,4,0,15,21.1,0.0
Maldives,19,0,13,6,0.0,68.4
New Caledonia,18,0,1,17,0.0,5.6
Sint Maarten,18,1,6,11,5.6,33.3
Haiti,16,0,1,15,0.0,6.3
Syria,16,2,0,14,12.5,0.0
Equatorial Guinea,15,0,1,14,0.0,6.7
Mongolia,14,0,2,12,0.0,14.3
Namibia,14,0,3,11,0.0,21.4
Benin,13,0,1,12,0.0,7.7
Saint Lucia,13,0,1,12,0.0,7.7
Dominica,12,0,0,12,0.0,0.0
Libya,11,1,0,10,9.1,0.0
Curaçao,11,1,3,7,9.1,27.3
Greenland,10,0,2,8,0.0,20.0
Suriname,10,0,0,10,0.0,0.0
Grenada,10,0,0,10,0.0,0.0
Mozambique,10,0,0,10,0.0,0.0
Laos,10,0,0,10,0.0,0.0
Seychelles,10,0,0,10,0.0,0.0
Guinea-Bissau,9,0,0,9,0.0,0.0
Zimbabwe,9,1,0,8,11.1,0.0
Antigua and Barbuda,9,0,0,9,0.0,0.0
Eswatini,9,0,0,9,0.0,0.0
Saint Kitts and Nevis,9,0,0,9,0.0,0.0
MS Zaandam,9,2,0,7,22.2,0.0
Chad,8,0,0,8,0.0,0.0
Angola,8,2,1,5,25.0,12.5
Sudan,8,2,2,4,25.0,25.0
Fiji,7,0,0,7,0.0,0.0
Vatican City,7,0,0,7,0.0,0.0
Nepal,6,0,1,5,0.0,16.7
Cabo Verde,6,1,0,5,16.7,0.0
Liberia,6,0,0,6,0.0,0.0
Mauritania,6,1,2,3,16.7,33.3
St. Barth,6,0,1,5,0.0,16.7
Somalia,5,0,1,4,0.0,20.0
Turks and Caicos,5,0,0,5,0.0,0.0
Bhutan,5,0,1,4,0.0,20.0
Nicaragua,5,1,0,4,20.0,0.0
Montserrat,5,0,0,5,0.0,0.0
Botswana,4,1,0,3,25.0,0.0
Gambia,4,1,2,1,25.0,50.0
CAR,3,0,0,3,0.0,0.0
Malawi,3,0,0,3,0.0,0.0
Belize,3,0,0,3,0.0,0.0
Anguilla,3,0,0,3,0.0,0.0
British Virgin Islands,3,0,0,3,0.0,0.0
Burundi,3,0,0,3,0.0,0.0
Caribbean Netherlands,2,0,0,2,0.0,0.0
St. Vincent Grenadines,2,0,1,1,0.0,50.0
Sierra Leone,2,0,0,2,0.0,0.0
Papua New Guinea,1,0,0,1,0.0,0.0
Timor-Leste,1,0,0,1,0.0,0.0
Total,1015887,52994,212320,750573,5.2,20.9
